id,title
b198f9b8-7489-44cc-a062-1cb4b32d5507,"Jimoto no Ijimekko-tachi ni Shikaeshi Shiyou to Shitara, Betsu no Tatakai ga Hajimatta."
6cc0f7c2-0db6-432b-8189-fcedbcdda888,Hitomi-chan wa Hitomishiri
1ffca916-3ad7-46d2-9591-a9b39e639971,Second Life Ranker
136a8c13-cf72-427a-8d76-23f1bf070c0e,
7c062006-5ea7-4fbc-a39d-23e3f66420e4,Kichiku Eiyuu
50fc2f0f-aeac-4152-82ba-164b3bb3b5b3,The Monstrous Duke's Adopted Daughter
16dcfceb-4382-45f1-adb0-d57fc5ea0d06,My Death Flags Show No Sign of Ending
f0bbac64-efe5-4403-9fcf-5454db36467a,Teisou Gyakuten Sekai no Doutei Henkyou Ryoushu Kishi
fffbfac3-b7ad-41ee-9581-b4d90ecec941,Grand Blue
157ab2cc-1fc7-4b29-8955-72d94a140982,
da7bb886-7e6b-4174-83a9-2c478475b846,Isekai Yakkyoku
d8f9afe2-aa44-4bc6-9145-eebb1f282372,Pseudo Harem
23a84f79-368c-44ca-8a8f-57103b9a5628,Tou no Kanri o Shitemiyou
6d6d9fda-5cd3-40ac-948b-776b1a1a0eb1,The Girl I Like Forgot Her Glasses
1487ed38-87b4-4f47-a82b-e85fd3dbd4f0,
1d25919b-e677-45c1-a64d-e40c2ea14fd5,
70fe972b-3c88-4165-b9a5-3db96d6d2c14,Shikkaku-mon no Saikyou Kenja ~Sekai Saikyou no Kenja ga Sarani Tsuyoku Naru Tame ni Tensei Shimashita~
d042e605-a07a-4cd2-87d5-ebe53c0b135f,"""Ano Toki Tasukete Itadaita Monster Musume desu."" Isekai Ossan Kyoushi Totsuzen no Moteki ni Konwaku suru"
0d4f9dba-f55f-4ff7-9f49-52311939504e,"Katainaka no Ossan, Kensei ni Naru ~Tada no Inaka no Kenjutsu Shihan Datta noni, Taisei Shita Deshi-tachi ga Ore wo Hottekurenai Ken~"
ee4c0acd-dc97-44a1-bebe-040cf79b62bd,Isekai NTR ~Shinyuu no Onna wo Saikyou Skill de Otosu Houhou~
6233aed2-2f42-4308-a2b9-7d37b836cc33,Kusunoki-san wa Koukou Debut ni Shippai Shite Iru
b5c415a8-2af4-44cd-8b2e-edb23800e2c8,
643561e6-5c27-4382-95d3-8e84894a3fb6,Yamada-kun to Lv999 no Koi wo Suru
722a45c0-5e55-40f2-929b-ff69b0989edb,
